Stream,Year,ChannelTY,Species,CK_popEst,CK_popSE,CK_pCapture,CK_pCaptureSE,CK_FishperM,CK_FishperM_SE
Lee Creek,2016,Pool-Riffle_1,Chinook,588,226.83,0.1071,0.0413,0.447488584,0.172625571
Little Springs Creek,2016,Meandering_1,Steelhead,485.76,76.57,0.3788,0.0597,0.116127181,0.018305044
Little Springs Creek,2016,Meandering_2,Steelhead,75.6,27.11,0.3571,0.1281,0.046437346,0.016652334
Lower Lemhi River,2016,Island_Braided_1,Steelhead,5786.29,2140.4,0.0422,0.0156,1.390600817,0.514395578
Lower Lemhi River,2016,Island_Braided_3,Steelhead,4383.53,436.44,0.1574,0.0157,1.05550927,0.105090296
Lower Lemhi River,2016,Island_Braided_4,Steelhead,1441.68,285.6,0.1366,0.0271,0.556418371,0.110227711
Lower Lemhi River,2016,Island_Braided_1,Chinook,10904,10787.38,0.0213,0.021,2.620523913,2.592496996
Lower Lemhi River,2016,Island_Braided_3,Chinook,1158.86,417.89,0.0897,0.0324,0.279041657,0.100623646
Lower Lemhi River,2016,Island_Braided_4,Chinook,1377.6,597,0.061,0.0264,0.531686607,0.230412968
Pratt Creek,2016,Plane-Bed_1,Steelhead,544,304.11,0.0625,0.0349,0.193113241,0.107955272
Pratt Creek,2016,Step-Pool_2,Steelhead,1887.32,330.07,0.1436,0.0251,0.435971356,0.076246246
Upper Lemhi River,2016,Meandering_1,Steelhead,4678.75,466.98,0.203,0.0203,0.637692517,0.063647267
Upper Lemhi River,2016,Meandering_2,Steelhead,7899.59,979.25,0.113,0.014,0.754569682,0.093538065
Upper Lemhi River,2016,Island_Braided_3,Steelhead,8620.54,1094.67,0.0912,0.0116,0.911647631,0.115764594
Upper Lemhi River,2016,Island_Braided_4,Steelhead,2150.17,181.81,0.3628,0.0307,0.651566667,0.055093939
Upper Lemhi River,2016,Meandering_1,Chinook,13670.83,5493.66,0.0311,0.0125,1.863272455,0.748761074
Upper Lemhi River,2016,Meandering_2,Chinook,24317.06,5822.45,0.0254,0.0061,2.322768173,0.556161047
Upper Lemhi River,2016,Island_Braided_3,Chinook,6890.42,3411.94,0.0282,0.0139,0.728682318,0.360822758
Upper Lemhi River,2016,Island_Braided_4,Chinook,1824.99,632.89,0.1107,0.0384,0.553027273,0.191784848
Wimpey Creek,2016,Plane-Bed_1,Steelhead,690.83,87.45,0.3474,0.044,0.724900315,0.091762854
Wimpey Creek,2016,Pool-Riffle_2,Steelhead,1017.69,264.21,0.1238,0.0321,1.033187817,0.268233503
Big Eightmile Creek,2017,Plane-Bed_3,Steelhead,579,159.9,0.098445596,0.027187307,0.510132159,0.140881057
Big Eightmile Creek,2017,Pool-Riffle_1,Steelhead,282,38.4,0.365248227,0.049735929,0.201141227,0.027389444
Big Eightmile Creek,2017,Pool-Riffle_1,Chinook,38,17,0.157894737,0.070637119,0.027104137,0.012125535
Big Springs Creek,2017,Pool-Riffle_1,Steelhead,286,66.7,0.174825175,0.040772165,0.080722552,0.018825854
Big Springs Creek,2017,Pool-Riffle_2,Steelhead,450,164.8,0.102222222,0.037436049,0.113093742,0.041417442
Big Springs Creek,2017,Pool-Riffle_1,Chinook,NA,NA,NA,NA,NA,NA
Big Springs Creek,2017,Pool-Riffle_2,Chinook,NA,NA,NA,NA,NA,NA
Big Timber Creek,2017,Confined_3,Steelhead,492,63.9,0.274390244,0.035637269,0.44646098,0.057985481
Big Timber Creek,2017,Island_Braided_2,Steelhead,314,21.8,0.378980892,0.026311412,0.202580645,0.014064516
Big Timber Creek,2017,Meandering_1,Steelhead,469,135.4,0.098081023,0.028315929,0.346381093,0.1
Big Timber Creek,2017,Pool-Riffle_4,Steelhead,1391,183.1,0.156002876,0.020534958,0.464751086,0.061176078
Big Timber Creek,2017,Pool-Riffle_5,Steelhead,527,56,0.292220114,0.031051853,0.300970874,0.031981725
Big Timber Creek,2017,Island_Braided_2,Chinook,NA,NA,NA,NA,NA,NA
Big Timber Creek,2017,Meandering_1,Chinook,NA,NA,NA,NA,NA,NA
Bohannon Creek,2017,Plane-Bed_1,Steelhead,1389,64.3,0.409647228,0.018963511,0.704361055,0.032606491
Bohannon Creek,2017,Plane-Bed_2,Steelhead,2077,231.7,0.19258546,0.021483896,1.010705596,0.112749392
Bohannon Creek,2017,Plane-Bed_3,Steelhead,492,58.7,0.223577236,0.026674764,0.273789649,0.032665554
Bohannon Creek,2017,Step-Pool_4,Steelhead,702,124,0.170940171,0.03019456,0.415876777,0.073459716
Bohannon Creek,2017,Plane-Bed_5,Steelhead,505,94.2,0.182178218,0.033982551,0.663600526,0.123784494
Bohannon Creek,2017,Step-Pool_6,Steelhead,186,57.7,0.14516129,0.045031217,0.261235955,0.081039326
Bohannon Creek,2017,Plane-Bed_1,Chinook,NA,NA,NA,NA,NA,NA
Canyon Creek,2017,Pool-Riffle_1,Steelhead,1173,382.6,0.087809037,0.028640867,0.792032411,0.25833896
Canyon Creek,2017,Pool-Riffle_2,Steelhead,1687,119.1,0.278008299,0.019627023,0.343584521,0.024256619
Canyon Creek,2017,Pool-Riffle_3,Steelhead,117,13.6,0.581196581,0.067557893,0.226305609,0.026305609
Canyon Creek,2017,Pool-Riffle_4,Steelhead,839,461.3,0.046483909,0.02555784,0.312942932,0.172062663
Canyon Creek,2017,Pool-Riffle_1,Chinook,NA,NA,NA,NA,NA,NA
Hawley Creek,2017,Pool-Riffle_4,Steelhead,103,33,0.242718447,0.077764163,0.114317425,0.036625971
Hawley Creek,2017,Plane-Bed_1,Steelhead,83,19.5,0.313253012,0.073595587,0.009226323,0.00216763
Hawley Creek,2017,Pool-Riffle_2,Steelhead,1527,115.4,0.264571054,0.019994433,0.502302632,0.037960526
Hawley Creek,2017,Plane-Bed_3,Steelhead,62,14.8,0.306451613,0.073152966,0.03916614,0.009349337
Hayden Creek,2017,Confined_3,Steelhead,623,105.5,0.165329053,0.027997135,0.326862539,0.055351522
Hayden Creek,2017,Island_Braided_1,Steelhead,4807,472,0.129810693,0.01274613,2.443823081,0.239959329
Hayden Creek,2017,Island_Braided_2,Steelhead,1045,102.6,0.306220096,0.030065246,0.536172396,0.052642381
Hayden Creek,2017,Plane-Bed_4,Steelhead,325,40.5,0.350769231,0.043711243,0.183823529,0.02290724
Hayden Creek,2017,Confined_3,Chinook,37,6,0.378378378,0.061358656,0.019412382,0.003147954
Hayden Creek,2017,Island_Braided_1,Chinook,2143,322.1,0.123191787,0.018516134,1.08947636,0.163751906
Hayden Creek,2017,Island_Braided_2,Chinook,1239,199.7,0.15819209,0.025497143,0.635710621,0.102462801
Hayden Creek,2017,Plane-Bed_4,Chinook,NA,NA,NA,NA,NA,NA
Kenney Creek,2017,Plane-Bed_1,Steelhead,1819,217.7,0.170973062,0.020462252,0.591352406,0.070773732
Kenney Creek,2017,Pool-Riffle_2,Steelhead,1209,203.1,0.148056245,0.02487198,0.312564633,0.052507756
Lee Creek,2017,Pool-Riffle_1,Steelhead,456,73.8,0.179824561,0.029103186,0.324093817,0.052452026
Lee Creek,2017,Pool-Riffle_1,Chinook,NA,NA,NA,NA,NA,NA
Little Springs Creek,2017,Meandering_1,Steelhead,499,75.3,0.28256513,0.042639588,0.119292374,0.018001434
Little Springs Creek,2017,Meandering_2,Steelhead,122,62,0.147540984,0.074979844,0.061368209,0.031187123
Little Springs Creek,2017,Meandering_1,Chinook,NA,NA,NA,NA,NA,NA
Lower Lemhi River,2017,Island_Braided_1,Steelhead,2020,716.7,0.089108911,0.031616018,0.8105939,0.287600321
Lower Lemhi River,2017,Island_Braided_2,Steelhead,687,321.2,0.061135371,0.028583233,0.349796334,0.163543788
Lower Lemhi River,2017,Island_Braided_3,Steelhead,2866,545.3,0.092114445,0.017526171,0.588018055,0.11187936
Lower Lemhi River,2017,Island_Braided_4,Steelhead,2062,308.7,0.143064985,0.021418119,0.387666855,0.058037225
Lower Lemhi River,2017,Island_Braided_1,Chinook,6220,1797.7,0.05192926,0.015008558,2.495987159,0.721388443
Lower Lemhi River,2017,Island_Braided_2,Chinook,NA,NA,NA,NA,1.265227884,0.368193196
Lower Lemhi River,2017,Island_Braided_3,Chinook,168,73.1,0.130952381,0.056979875,0.034468609,0.014997948
Lower Lemhi River,2017,Island_Braided_4,Chinook,1834,512.3,0.067066521,0.018734012,0.344801654,0.096315097
Upper Lemhi River,2017,Amonson_SC1,Steelhead,434,124.2,0.099078341,0.028353756,1.9375,0.554464286
Upper Lemhi River,2017,Amonson_SC2,Steelhead,168,40.6,0.178571429,0.043154762,1.018181818,0.246060606
Upper Lemhi River,2017,Island_Braided_3,Steelhead,4713,874.3,0.086144706,0.015980547,1.023452769,0.189858849
Upper Lemhi River,2017,Island_Braided_4,Steelhead,2911,633.8,0.081415321,0.017726221,0.900680693,0.196101485
Upper Lemhi River,2017,Meandering_1,Steelhead,3782,509.2,0.116604971,0.015699432,0.930839281,0.125326114
Upper Lemhi River,2017,Meandering_2,Steelhead,1769,224.9,0.17580554,0.022350857,0.655670867,0.083358043
Upper Lemhi River,2017,Amonson_SC1,Chinook,NA,NA,NA,NA,NA,NA
Upper Lemhi River,2017,Amonson_SC2,Chinook,NA,NA,NA,NA,NA,NA
Upper Lemhi River,2017,Island_Braided_3,Chinook,5894,2881,0.022056328,0.010781181,1.279913138,0.625624321
Upper Lemhi River,2017,Island_Braided_4,Chinook,1772,848.9,0.053047404,0.025413059,0.548267327,0.262654703
Upper Lemhi River,2017,Meandering_1,Chinook,1948,936.2,0.034394251,0.016529721,0.479448683,0.230420871
Upper Lemhi River,2017,Meandering_2,Chinook,3239,1822.1,0.033034887,0.018583781,1.200518903,0.675352113
Wimpey Creek,2017,Plane-Bed_1,Steelhead,1050,49.3,0.400952381,0.018825669,1.161504425,0.054535398
Wimpey Creek,2017,Plane-Bed_2,Steelhead,1486,81.3,0.380888291,0.020838639,1.551148225,0.084864301
Wimpey Creek,2017,Plane-Bed_1,Chinook,NA,NA,NA,NA,NA,NA
Wimpey Creek,2017,Plane-Bed_2,Chinook,NA,NA,NA,NA,NA,NA
Big Eightmile Creek,2018,Pool-Riffle_1,Steelhead,143,20,0.447552448,0.062594748,0.114217252,0.015974441
Big Eightmile Creek,2018,Pool-Riffle_1,Chinook,NA,NA,NA,NA,0.002396166,NA
Big Springs Creek,2018,Pool-Riffle_1,Steelhead,575,73.6,0.250434783,0.032055652,0.160659402,0.020564403
Big Springs Creek,2018,Pool-Riffle_2,Steelhead,280,59,0.217857143,0.045905612,0.128263857,0.027027027
